Source,Target,Weight
1009243,1009327,4
1009243,1009337,10
1009243,1009343,2
1009243,1009351,6
1009243,1009362,20
1009243,1009368,6
1009243,1009381,10
1009243,1009382,2
1009243,1009417,16
1009243,1009425,10
1009243,1009465,4
1009243,1009471,2
1009243,1009472,32
1009243,1009499,14
1009243,1009504,24
1009243,1009524,6
1009243,1009546,28
1009243,1009554,6
1009243,1009562,6
1009243,1009629,46
1009243,1009636,6
1009243,1009664,6
1009243,1009666,4
1009243,1009697,6
1009243,1009707,2
1009243,1009718,54
1009257,1009265,2
1009257,1009267,8
1009257,1009281,4
1009257,1009297,4
1009257,1009309,4
1009257,1009310,32
1009257,1009312,4
1009257,1009313,22
1009257,1009327,14
1009257,1009337,14
1009257,1009338,2
1009257,1009343,4
1009257,1009351,12
1009257,1009362,30
1009257,1009368,10
1009257,1009381,14
1009257,1009382,4
1009257,1009417,16
1009257,1009425,6
1009257,1009465,2
1009257,1009471,2
1009257,1009472,32
1009257,1009499,14
1009257,1009504,36
1009257,1009524,8
1009257,1009546,26
1009257,1009554,10
1009257,1009562,8
1009257,1009629,48
1009257,1009636,4
1009257,1009664,14
1009257,1009666,4
1009257,1009697,8
1009257,1009707,6
1009257,1009718,76
1009257,1010338,2
1009265,1009472,2
1009265,1009629,2
1009265,1009718,2
1009267,1009310,4
1009267,1009313,2
1009267,1009327,2
1009267,1009343,2
1009267,1009362,2
1009267,1009417,2
1009267,1009472,2
1009267,1009499,2
1009267,1009504,2
1009267,1009546,2
1009267,1009554,2
1009267,1009718,8
1009281,1009297,2
1009281,1009312,4
1009281,1009313,2
1009281,1009338,6
1009281,1009343,2
1009281,1009351,6
1009281,1009362,2
1009281,1009368,6
1009281,1009417,2
1009281,1009471,2
1009281,1009524,6
1009281,1009546,2
1009281,1009552,2
1009281,1009562,6
1009281,1009629,2
1009281,1009664,10
1009281,1009697,6
1009281,1009707,2
1009281,1009718,8
1009281,1010338,2
1009281,1010740,2
1009297,1009313,2
1009297,1009338,2
1009297,1009351,2
1009297,1009362,2
1009297,1009368,4
1009297,1009471,4
1009297,1009524,2
1009297,1009546,2
1009297,1009562,2
1009297,1009629,2
1009297,1009664,2
1009297,1009697,2
1009297,1009707,2
1009297,1009718,2
1009297,1010740,4
1009309,1009310,2
1009309,1009313,4
1009309,1009327,2
1009309,1009337,2
1009309,1009362,8
1009309,1009381,4
1009309,1009417,4
1009309,1009425,2
1009309,1009465,2
1009309,1009472,4
1009309,1009499,2
1009309,1009504,4
1009309,1009524,4
1009309,1009546,4
1009309,1009554,2
1009309,1009629,12
1009309,1009718,6
1009310,1009312,2
1009310,1009313,8
1009310,1009327,4
1009310,1009337,4
1009310,1009351,2
1009310,1009362,10
1009310,1009368,2
1009310,1009381,8
1009310,1009382,2
1009310,1009417,14
1009310,1009425,2
1009310,1009465,2
1009310,1009472,4
1009310,1009499,4
1009310,1009504,8
1009310,1009524,4
1009310,1009546,8
1009310,1009554,6
1009310,1009562,2
1009310,1009629,14
1009310,1009636,2
1009310,1009664,2
1009310,1009666,2
1009310,1009697,2
1009310,1009707,2
1009310,1009718,28
1009312,1009313,4
1009312,1009337,2
1009312,1009338,2
1009312,1009351,4
1009312,1009362,2
1009312,1009368,8
1009312,1009382,2
1009312,1009407,4
1009312,1009417,2
1009312,1009425,2
1009312,1009471,4
1009312,1009472,4
1009312,1009499,2
1009312,1009504,2
1009312,1009524,2
1009312,1009546,2
1009312,1009552,2
1009312,1009562,6
1009312,1009629,4
1009312,1009636,2
1009312,1009652,2
1009312,1009664,12
1009312,1009666,2
1009312,1009697,4
1009312,1009707,4
1009312,1009718,8
1009312,1010801,2
1009313,1009327,6
1009313,1009337,4
1009313,1009338,2
1009313,1009343,2
1009313,1009351,4
1009313,1009362,24
1009313,1009368,4
1009313,1009381,12
1009313,1009382,4
1009313,1009417,12
1009313,1009425,6
1009313,1009465,8
1009313,1009471,2
1009313,1009472,12
1009313,1009499,6
1009313,1009504,16
1009313,1009524,6
1009313,1009546,30
1009313,1009554,16
1009313,1009562,4
1009313,1009629,26
1009313,1009636,4
1009313,1009664,8
1009313,1009666,2
1009313,1009697,4
1009313,1009707,4
1009313,1009718,36
1009327,1009337,2
1009327,1009343,2
1009327,1009362,6
1009327,1009417,2
1009327,1009425,2
1009327,1009472,8
1009327,1009499,4
1009327,1009504,8
1009327,1009524,2
1009327,1009546,4
1009327,1009554,4
1009327,1009629,10
1009327,1009664,2
1009327,1009718,12
1009337,1009343,2
1009337,1009351,4
1009337,1009362,12
1009337,1009368,2
1009337,1009381,4
1009337,1009382,8
1009337,1009417,4
1009337,1009425,2
1009337,1009465,4
1009337,1009472,12
1009337,1009499,16
1009337,1009504,12
1009337,1009524,6
1009337,1009546,4
1009337,1009554,2
1009337,1009562,4
1009337,1009629,12
1009337,1009636,4
1009337,1009664,2
1009337,1009666,4
1009337,1009697,4
1009337,1009707,2
1009337,1009718,14
1009338,1009343,2
1009338,1009351,10
1009338,1009362,2
1009338,1009368,18
1009338,1009407,2
1009338,1009471,2
1009338,1009524,12
1009338,1009546,2
1009338,1009552,2
1009338,1009562,14
1009338,1009629,2
1009338,1009641,2
1009338,1009664,14
1009338,1009697,6
1009338,1009707,6
1009338,1009718,8
1009338,1010338,2
1009338,1010740,4
1009338,1010801,2
1009343,1009351,8
1009343,1009362,2
1009343,1009368,4
1009343,1009407,4
1009343,1009472,2
1009343,1009499,2
1009343,1009504,2
1009343,1009524,6
1009343,1009546,2
1009343,1009554,2
1009343,1009562,8
1009343,1009629,2
1009343,1009664,6
1009343,1009697,12
1009343,1009707,4
1009343,1009718,8
1009343,1010338,2
1009351,1009362,4
1009351,1009368,22
1009351,1009382,4
1009351,1009417,2
1009351,1009471,2
1009351,1009472,2
1009351,1009499,4
1009351,1009504,2
1009351,1009524,10
1009351,1009546,4
1009351,1009562,10
1009351,1009629,6
1009351,1009636,2
1009351,1009664,18
1009351,1009666,2
1009351,1009697,14
1009351,1009707,6
1009351,1009718,18
1009351,1010338,6
1009351,1010740,2
1009362,1009368,4
1009362,1009381,16
1009362,1009382,10
1009362,1009417,10
1009362,1009425,6
1009362,1009465,6
1009362,1009472,18
1009362,1009499,14
1009362,1009504,12
1009362,1009524,8
1009362,1009546,20
1009362,1009554,10
1009362,1009562,4
1009362,1009629,28
1009362,1009636,4
1009362,1009664,10
1009362,1009666,4
1009362,1009697,4
1009362,1009707,4
1009362,1009718,42
1009368,1009381,2
1009368,1009382,4
1009368,1009407,6
1009368,1009417,4
1009368,1009421,2
1009368,1009465,2
1009368,1009471,12
1009368,1009472,2
1009368,1009499,2
1009368,1009504,6
1009368,1009524,10
1009368,1009546,2
1009368,1009552,8
1009368,1009554,4
1009368,1009562,22
1009368,1009629,4
1009368,1009636,4
1009368,1009641,2
1009368,1009664,40
1009368,1009666,2
1009368,1009685,2
1009368,1009697,14
1009368,1009707,14
1009368,1009718,68
1009368,1010338,8
1009368,1010740,2
1009368,1010801,2
1009368,1011026,4
1009381,1009382,2
1009381,1009417,6
1009381,1009425,4
1009381,1009465,4
1009381,1009472,6
1009381,1009499,6
1009381,1009504,2
1009381,1009524,2
1009381,1009546,16
1009381,1009554,8
1009381,1009629,14
1009381,1009718,26
1009382,1009417,2
1009382,1009465,2
